" Appointment"," OTP"," Member"," Affiliation"," Start date"," End date"," Status"
"Convener of subgroup: Higgs Prospects (discontinued end of 2019) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","OLIVIER, Arnaez","Annecy LAPP(France)","2013-10-01","2014-09-30","inactive"
"Convener of subgroup: Higgs Prospects (discontinued end of 2019) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","STEPHANE, Jezequel","Annecy LAPP(France)","2017-10-01","2019-12-31","inactive"
"Convener of subgroup: Dibosons, Multileptons and Extra Dimensions (DBL) (discontinued, restarted under HDBS since 01.10.2018) // Activities and Detector Projects // Physics // Physics Analysis Groups // Exotics physics group","0","NICOLAS, Berger","Annecy LAPP(France)","2010-10-01","2011-09-30","inactive"
"Convener of subgroup: Leptons, Z', W' and LFV (LPX) // Activities and Detector Projects // Physics // Physics Analysis Groups // Exotics physics group","0","TETIANA, Hrynova","Annecy LAPP(France)","2012-10-01","2013-09-30","inactive"
"LAr Software & Data Preparation Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Software&Data Preparation","","MARCO, Delmastro","Annecy LAPP(France)","2011-10-01","2012-09-30","inactive"
"LAr Data Quality Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Data Quality","","JESSICA, Leveque","Annecy LAPP(France)","2010-03-01","2012-02-29","inactive"
"Convener of subgroup: Calibration // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group","0","NAREI, Lorenzo Martinez","Annecy LAPP(France)","2019-04-01","2020-03-31","inactive"
"Convener of subgroup: Calibration // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group","0","THIBAULT, Guillemin","Annecy LAPP(France)","2016-10-01","2017-09-30","inactive"
"Convener of subgroup: Photon Identification and Efficiencies // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group","0","NICOLAS, Berger","Annecy LAPP(France)","2015-05-01","2016-05-31","inactive"
"ADC operations coordinator // Activities and Detector Projects // Software and Computing // ADC","0","STEPHANE, Jezequel","Annecy LAPP(France)","2010-03-01","2011-02-28","inactive"
"TRT Software Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","NAREI, Lorenzo Martinez","Annecy LAPP(France)","2014-09-01","2016-09-01","inactive"
"EB Scientific Secretary // General // Executive Board // Appointments",".1","NICOLAS, Berger","Annecy LAPP(France)","2021-03-01","2022-03-31","inactive"
"Software & Computing Speakers Committee Member // Activities and Detector Projects // Software and Computing // General","0","CLAIRE, Adam Bourdarios","Annecy LAPP(France)","2017-01-01","2017-12-31","inactive"
"Statistics Committee Chair // Activities and Detector Projects // Physics // Statistics Committee","0","NICOLAS, Berger","Annecy LAPP(France)","2018-10-01","2020-03-31","inactive"
"Statistics Committee Member // Activities and Detector Projects // Physics // Statistics Committee","0","NICOLAS, Berger","Annecy LAPP(France)","2020-04-01","2022-09-30","inactive"
"ITk Speakers Committee Member // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // General","","JESSICA, Leveque","Annecy LAPP(France)","2020-01-01","2021-09-30","inactive"
"LAr Phase-II Calibration System Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Front End Electronics","","NAREI, Lorenzo Martinez","Annecy LAPP(France)","2024-04-01","2024-08-31","inactive"
"LAr Phase-II Calibration System Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Front End Electronics","","MARCO, Delmastro","Annecy LAPP(France)","2024-09-01","2026-03-31","active"
"LAr Phase-II Calibration System Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Front End Electronics","","MARCO, Delmastro","Annecy LAPP(France)","2018-04-01","2020-06-30","inactive"
"LAr Phase-II Calibration System Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Front End Electronics","","NAREI, Lorenzo Martinez","Annecy LAPP(France)","2020-07-01","2024-03-31","inactive"
"LAr Phase-II Calibration System Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Front End Electronics","","NAREI, Lorenzo Martinez","Annecy LAPP(France)","2018-12-01","2019-07-31","inactive"
"LAr Phase-II Off-Detector Electronics Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Off-Detector Electronics","","NAREI, Lorenzo Martinez","Annecy LAPP(France)","2018-04-01","2018-11-30","inactive"
"LAr Phase-II Off-Detector Electronics Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Off-Detector Electronics","","TETIANA, Hrynova","Annecy LAPP(France)","2018-12-01","2024-03-31","inactive"
"LAr Phase-II Timing System Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Off-Detector Electronics","","TETIANA, Hrynova","Annecy LAPP(France)","2018-04-01","2018-11-30","inactive"
"LAr Phase-II Timing System Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Off-Detector Electronics","","NICOLAS, Dumont Dayot","Annecy LAPP(France)","2018-12-01","2024-03-31","inactive"
"Convener LHC Higgs WG // Activities and Detector Projects // Physics // Physics Analysis Groups // LHC Working Groups","","NICOLAS, Berger","Annecy LAPP(France)","2025-04-01","2026-09-30","upcoming"
"Convener LHC EFT WG // Activities and Detector Projects // Physics // Physics Analysis Groups // LHC Working Groups","","NICOLAS, Berger","Annecy LAPP(France)","2020-10-01","2022-09-30","inactive"
"ICB Scrutiny Group Member // Activities and Detector Projects // Software and Computing // General","","STEPHANE, Jezequel","Annecy LAPP(France)","2017-04-01","2020-03-31","inactive"
"LAr Phase-II Online Software // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Online Software","","FATIH, Bellachia","Annecy LAPP(France)","2024-04-01","2026-03-31","active"
"LAr Phase-II Online Software // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Online Software","","OLIVIER, Arnaez","Annecy LAPP(France)","2024-04-01","2026-03-31","active"
"LAr Phase-II Online Software // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Online Software","","OLIVIER, Arnaez","Annecy LAPP(France)","2023-03-01","2024-03-31","inactive"
"LAr Phase-II Online Software // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Online Software","","FATIH, Bellachia","Annecy LAPP(France)","2023-03-01","2024-03-31","inactive"
"LAr Phase-II LATS Hardware Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Off-Detector Electronics","","NICOLAS, Dumont Dayot","Annecy LAPP(France)","2024-04-01","2026-03-31","active"
"LAr Phase-II LATS Hardware Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Off-Detector Electronics","","TETIANA, Hrynova","Annecy LAPP(France)","2024-04-01","2026-03-31","active"
"LAr Phase-II LATS Firmware Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Off-Detector Electronics","","NICOLAS, Chevillot","Annecy LAPP(France)","2024-04-01","2026-03-31","active"
"Online Core Software Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Online Software","","FATIH, Bellachia","Annecy LAPP(France)","2024-04-01","2026-03-31","active"
"Online SW Calibration Integration Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Upgrade Phase-II Electronics // Online Software","","OLIVIER, Arnaez","Annecy LAPP(France)","2024-04-01","2026-03-31","active"
"Publication Committee member // General // Publications Committee // Appointments",".15","GIOVANNI, Marchiori","APC Paris(France)","2021-03-01","2023-02-28","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","GIOVANNI, Marchiori","APC Paris(France)","2023-10-01","2026-09-30","active"
"Convener of subgroup: Jet and Photon Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","GIOVANNI, Marchiori","APC Paris(France)","2011-10-01","2012-09-30","inactive"
"Convener of subgroup: HGamma (HSG1) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","GIOVANNI, Marchiori","APC Paris(France)","2016-10-01","2017-09-30","inactive"
"Convener of subgroup: Photon Identification and Efficiencies // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group","0","GIOVANNI, Marchiori","APC Paris(France)","2014-10-15","2016-09-30","inactive"
"Pixel Radiation Damage Subgroup Convener (moved to ID) // Activities and Detector Projects // Inner Detector (ID) // Pixel // Level-3 Coordinators","0","MARCO, Bomben","APC Paris(France)","2017-03-01","2019-02-28","inactive"
"ID Silicon Radiation Damage Group Co-convenor // Activities and Detector Projects // Inner Detector (ID) // ID General // Level-3 Coordinators","0","MARCO, Bomben","APC Paris(France)","2024-03-01","2025-02-28","active"
"ID Silicon Radiation Damage Group Co-convenor // Activities and Detector Projects // Inner Detector (ID) // ID General // Level-3 Coordinators","0","MARCO, Bomben","APC Paris(France)","2025-03-01","2026-02-28","upcoming"
"ID Silicon Radiation Damage Group Co-convenor // Activities and Detector Projects // Inner Detector (ID) // ID General // Level-3 Coordinators","0","MARCO, Bomben","APC Paris(France)","2019-03-01","2024-02-29","inactive"
"Tile System Project Leader // Activities and Detector Projects // Tile Calorimeter",".3","BOB, Stanek","Argonne(United States of America)","2005-03-01","2009-02-28","inactive"
"Tile IB Chair // Activities and Detector Projects // Tile Calorimeter",".15","LAWRENCE, Price","Argonne(United States of America)","2009-05-01","2011-04-30","inactive"
"Publication Committee member // General // Publications Committee // Appointments",".15","RIKUTARO, Yoshida","Argonne(United States of America)","2012-03-01","2014-02-28","inactive"
"Convener jet/Etmiss CP // Activities and Detector Projects // Physics // Combined Performance Groups",".3","JIMMY, Proudfoot","Argonne(United States of America)","2007-10-01","2009-09-30","inactive"
"TDAQ Speakers Committee member // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // General",".2","TAYLOR, Childers","Argonne(United States of America)","2010-11-01","2012-10-31","inactive"
"DP - Data Curation and Characterisation (DCC) Coordinator (previously Metadata Coordinator) // Activities and Detector Projects // Software and Computing // ATLAS Database and Metadata (ADAM) // Database and Metadata Evolution","0","DAVID, Malon","Argonne(United States of America)","2008-10-01","2016-12-31","inactive"
"Trigger MinBias/Fwd Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","JINLONG, Zhang","Argonne(United States of America)","2010-03-01","2011-02-28","inactive"
"Convener of subgroup: Electroweak Production // Activities and Detector Projects // Physics // Physics Analysis Groups // Supersymmetry physics group","","ALAETTIN SERHAN, Mete","Argonne(United States of America)","2014-04-01","2015-03-31","inactive"
"DP - Event Display Coordinator // Activities and Detector Projects // Data Preparation // Event Display","","SERGEI, Chekanov","Argonne(United States of America)","2019-10-01","2021-09-30","inactive"
"DAQ/HLT System Run Coordinator // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // DAQ/HLT","","JOAQUIN, Hoya","Argonne(United States of America)","2023-01-01","2023-12-31","inactive"
"DAQ/HLT System Run Coordinator // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // DAQ/HLT","","JEREMY, Love","Argonne(United States of America)","2017-01-01","2017-06-30","inactive"
"Core Software Coordinator // Activities and Detector Projects // Software and Computing // Software","0","ALAETTIN SERHAN, Mete","Argonne(United States of America)","2023-10-01","2025-09-30","active"
"ADC Integration and Commissioning coordinator // Activities and Detector Projects // Software and Computing // ADC","","FRANK, Berghaus","Argonne(United States of America)","2018-10-01","2019-09-30","inactive"
"Machine Learning Forum Conveners // Activities and Detector Projects // Software and Computing // General","","WALTER, Hopkins","Argonne(United States of America)","2022-10-24","2024-09-30","inactive"
"Simulation Fast Chain Group Sub-convenor // Activities and Detector Projects // Physics // Simulation","","RUI, Wang","Argonne(United States of America)","2023-12-01","2025-11-30","active"
"FELIX Coordinator  // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // DAQ/HLT","","JINLONG, Zhang","Argonne(United States of America)","2017-03-01","2018-05-31","inactive"
"Readout Coordinator  // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // DAQ/HLT","","JINLONG, Zhang","Argonne(United States of America)","2018-06-01","2019-02-28","inactive"
"Readout Coordinator  // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // DAQ/HLT","","JINLONG, Zhang","Argonne(United States of America)","2019-03-01","2022-12-31","inactive"
"Software & Computing Speakers Committee Member // Activities and Detector Projects // Software and Computing // General","0","DAVID, Malon","Argonne(United States of America)","2015-07-01","2018-06-30","inactive"
"SPOT coordinator // Activities and Detector Projects // Software and Computing // Software","","ALAETTIN SERHAN, Mete","Argonne(United States of America)","2018-07-01","2023-09-30","inactive"
"Tile Calorimeter Phase-I Upgrade Coordinator // Activities and Detector Projects // Tile Calorimeter // Phase-I Upgrade","0","LAWRENCE, Price","Argonne(United States of America)","2009-03-01","2012-02-28","inactive"
"Technical Coordination Board Convener // Activities and Detector Projects // Software and Computing // ADC","0","FRANK, Berghaus","Argonne(United States of America)","2019-10-01","2020-09-30","inactive"
"Project Management Office Member // Activities and Detector Projects // Upgrade Coordination // Project Management Office // Level-3 Coordinators","0","JINLONG, Zhang","Argonne(United States of America)","2021-03-01","2025-02-28","active"
"Upgrade Deputy Coordinator // Activities and Detector Projects // Upgrade Coordination","0","JINLONG, Zhang","Argonne(United States of America)","2023-12-01","2025-02-28","active"
"Convener of subgroup: Strong Production // Activities and Detector Projects // Physics // Physics Analysis Groups // Supersymmetry physics group","0","WALTER, Hopkins","Argonne(United States of America)","2020-04-01","2022-03-31","inactive"
"TDAQ Phase-II - Resource Coordinator // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // Phase-II","","JINLONG, Zhang","Argonne(United States of America)","2019-03-01","2027-02-28","active"
"Project Office - Resource Coordinator // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // Phase-II // Project Office Activities","","JINLONG, Zhang","Argonne(United States of America)","2019-03-01","2027-02-28","active"
"DAQ - Readout Coordinator // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // Phase-II // DAQ","","ALEXANDER, Paramonov","Argonne(United States of America)","2024-06-03","2027-02-28","active"
"ITk PSO Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk)","","JEREMY, Love","Argonne(United States of America)","2016-03-01","2018-03-01","inactive"
"ITk Risk Management Chair // Activities and Detector Projects // Inner Tracker for Phase-II (ITk)","","JIMMY, Proudfoot","Argonne(United States of America)","2016-03-01","2019-09-01","inactive"
"ITk Pixel Modules Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","JESSICA, Metcalfe","Argonne(United States of America)","2024-04-01","2026-03-31","active"
"ITk Pixel Modules Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","JESSICA, Metcalfe","Argonne(United States of America)","2018-06-01","2021-09-30","inactive"
"ITk Pixel Modules Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","JESSICA, Metcalfe","Argonne(United States of America)","2021-10-01","2024-03-31","inactive"
"DAQ Readout Firmware Coordinator // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // Phase-II // DAQ // Readout","","RICARDO, Luz","Argonne(United States of America)","2025-02-07","2027-02-28","active"
"DAQ Readout User Support Coordinator // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // Phase-II // DAQ // Readout","","ALEXANDER, Paramonov","Argonne(United States of America)","2023-01-01","2027-02-28","active"
"Full Simulation Subgroup convener // Activities and Detector Projects // Physics // Simulation","","WALTER, Hopkins","Argonne(United States of America)","2022-11-01","2024-12-31","inactive"
"EF Tracking L4 Manager: ITk Data Preparation // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // Phase-II // Event Filter // EF Tracking","","ALEXANDER, Paramonov","Argonne(United States of America)","2021-11-15","2024-06-30","inactive"
"Data Preparation Coordinator // Activities and Detector Projects // Data Preparation",".3","WALTER, Lampl","Arizona(United States of America)","2025-10-01","2026-09-30","upcoming"
"Data Preparation Deputy Coordinator // Activities and Detector Projects // Data Preparation",".3","WALTER, Lampl","Arizona(United States of America)","2024-10-01","2025-09-30","active"
"Software Coordinator // Activities and Detector Projects // Software and Computing // Software","","WALTER, Lampl","Arizona(United States of America)","2015-07-16","2020-10-15","inactive"
"LAr IB Chair (GroupReps chair) // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr)",".15","JOHN P., Rutherfoord","Arizona(United States of America)","2009-10-01","2013-09-30","inactive"
"Speakers Committee Chair // General // Speakers Committee",".45","ERICH WARD, Varnes","Arizona(United States of America)","2021-10-01","2022-03-31","inactive"
"Speakers Committee Deputy Chair // General // Speakers Committee",".3","ERICH WARD, Varnes","Arizona(United States of America)","2021-04-01","2021-09-30","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","ERICH WARD, Varnes","Arizona(United States of America)","2019-10-01","2022-09-30","inactive"
"SCAB Chair // General // Speakers Committee Advisory Board (SCAB)",".15","ERICH WARD, Varnes","Arizona(United States of America)","2024-03-01","2025-02-28","active"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","ERICH WARD, Varnes","Arizona(United States of America)","2023-03-01","2025-02-28","active"
"Convener jet/Etmiss CP // Activities and Detector Projects // Physics // Combined Performance Groups",".3","PETER, Loch","Arizona(United States of America)","2006-10-01","2008-09-30","inactive"
"Convener Monte Carlo WG (discontinued, PMG since 1/10/2014) // Activities and Detector Projects // Physics // Physics Analysis Groups",".24","PETER, Loch","Arizona(United States of America)","2010-10-01","2012-09-30","inactive"
"SCAB Deputy Chair // General // Speakers Committee Advisory Board (SCAB)",".15","ERICH WARD, Varnes","Arizona(United States of America)","2023-09-01","2024-02-29","inactive"
"DP - Prompt Reconstruction Operation Coordinator (PROC) // Activities and Detector Projects // Data Preparation // PROC","0","WALTER, Lampl","Arizona(United States of America)","2023-06-01","2023-09-30","inactive"
